Outcode,Postcode,Number_meters,Total_consumption_kwh,Mean_consumption_kwh,Median_consumption_kwh
AB,"All postcodes",59,942324,15971.59,11265.28
AB,"All postcodes",10776,147949641,13729.55,10830.81
AB,"AB10 1AU",13,122286,9406.59,4363.76
AB,"AB10 1BA",9,122695,13632.75,12528.66
AB,"AB10 1FG",24,247933,10330.53,6151.71
AB,"AB10 1HP",9,87364,9707.06,8864.66
AB,"AB10 1JE",9,91105,10122.77,5917.45
AB,"AB10 1JQ",8,58208,7276.04,8189.43
AB,"AB10 1JS",5,105493,21098.56,11792.85
AB,"AB10 1JT",7,65485,9355.05,10110.02
AB,"AB10 1JX",5,74081,14816.27,6850.47
AB,"AB10 1NJ",11,117713,10701.21,6853.47
AB,"AB10 1NN",7,104117,14873.89,6790.4
AB,"AB10 1PE",11,226952,20632.01,16949.47
AB,"AB10 1PF",7,163556,23365.21,23956.11
AB,"AB10 1PR",10,62663,6266.33,5139.1
AB,"AB10 1QD",7,131166,18738.02,11456.49
AB,"AB10 1QE",11,70416,6401.43,2944.21
AB,"AB10 1QH",32,303423,9481.98,9258.09
AB,"AB10 1QJ",14,145812,10415.14,8460.22
AB,"AB10 1QL",12,116177,9681.44,7944.66
AB,"AB10 1QN",30,361251,12041.69,11252.77
AB,"AB10 1QQ",8,59974,7496.77,7197.95
AB,"AB10 1RA",6,33843,5640.54,6063.69
AB,"AB10 1RB",12,160792,13399.32,7991.21
AB,"AB10 1RD",9,191228,21247.56,16034.66
AB,"AB10 1RH",8,189472,23684.01,17631.72
AB,"AB10 1RJ",11,170005,15454.97,11216.23
AB,"AB10 1RL",11,228582,20780.23,15016.37
AB,"AB10 1RN",7,80036,11433.65,8284.03
AB,"AB10 1RP",17,212970,12527.66,12714.86
AB,"AB10 1RQ",5,49429,9885.78,8277.02
AB,"AB10 1RR",8,48520,6065.01,3538.29
AB,"AB10 1RT",14,82584,5898.83,5417.4
AB,"AB10 1RX",26,308834,11878.23,10533.48
AB,"AB10 1RY",28,260134,9290.49,8377.13
AB,"AB10 1SB",32,338948,10592.12,7192.34
AB,"AB10 1SD",5,25576,5115.18,5903.43
AB,"AB10 1SJ",5,47160,9432.02,7953.67
AB,"AB10 1SN",31,208987,6741.51,5872.4
AB,"AB10 1SP",18,145040,8057.76,9346.69
AB,"AB10 1SS",26,211679,8141.48,7177.82
AB,"AB10 1SU",5,49212,9842.33,4752.18
AB,"AB10 1SY",17,107166,6303.89,4808.39
AB,"AB10 1TE",12,104102,8675.14,7609.29
AB,"AB10 1TH",23,202105,8787.2,8004.73
AB,"AB10 1TJ",10,146828,14682.81,12441.41
AB,"AB10 1TP",8,90269,11283.6,8308.06
AB,"AB10 1TS",14,169730,12123.57,10083.99
AB,"AB10 1TT",9,110463,12273.64,7867.58
AB,"AB10 1TX",5,51223,10244.57,6541.13
AB,"AB10 1TY",21,160155,7626.41,8184.92
AB,"AB10 1TZ",22,157326,7151.17,5871.57
AB,"AB10 1UA",8,113850,14231.22,9705.08
AB,"AB10 1UB",9,126466,14051.82,7902.61
AB,"AB10 1UD",20,165379,8268.96,6474.72
AB,"AB10 1UE",6,61430,10238.34,7421.09
AB,"AB10 1UH",22,203066,9230.25,8292.04
AB,"AB10 1UJ",28,217440,7765.71,7624.31
AB,"AB10 1UN",15,368530,24568.66,23685.82
AB,"AB10 1UP",14,445195,31799.64,38900.38
AB,"AB10 1UQ",5,180368,36073.58,34909.05
AB,"AB10 1UR",9,238914,26546.05,20256.08
AB,"AB10 1US",12,253087,21090.58,16747.79
AB,"AB10 1UU",24,301254,12552.25,9374.22
AB,"AB10 1UW",8,102845,12855.64,10795.77
AB,"AB10 1UX",25,362394,14495.77,11794.86
